Título,Votos
Building a Knowledge System That Enhances Rather Than Replaces Thought,1134
uBlock Origin GPL code being stolen by team behind honey browser extension,594
iTerm2 critical security release,313
Show HN: connet – A P2P reverse proxy with NAT traversal,295
I am rich and have no idea what to do,281
Advent of Code 2024 in pure SQL,262
"Zildjian, a 400-year-old cymbal-making company in Massachusetts",239
Ask HN: Who is hiring? (January 2025),216
4.5M Suspected Fake Stars in GitHub,184
Rules for writing software tutorials,177
Diagnosing an Unusual WiFi Issue (2020),174
Postgres UUIDv7 and per-back end monotonicity,167
Show HN: Made a small JavaScript benchmarking app – BenchJS,154
XiangShan – open-source high performance RISC-V processor,140
TinyStories: How Small Can Language Models Be and Still Speak Coherent English? (2023),137
DOOM CAPTCHA,114
Linux Context Switching Internals: Process State and Memory,107
Tell HN: Impassable Cloudflare challenges are ruining my browsing experience,97
UK's biggest dinosaur footprint site unearthed,77
"Optimizing Ruby's JSON, Part 4",71
PlasticList's Advice for Food Companies,70
The Anthrobots: a new living entity with much to teach us,65
UpCodes (YC S17) is hiring remote recruiters to help make buildings cheaper,64
The Alder Lake SHLX Anomaly,63
Shmøergh Hog – The making of a simple analog synth,22
What Is miniKanren?,18
I still don't think companies serve you ads based on your microphone,11
Autodesk deletes old forum posts suddenly,11
U.S. appeals court strikes down FCC's net neutrality rules,4
